1,청양고추/고춧가루
2,파슬리후레이크
3,전부가루
4,재료: 양파
5,생강(마늘크기만한것)
6,돼지고기(불고기감)
7,초간장 소스
8,브로콜리 기둥
9,참나물
10,당근(2cm 길이로)
11,갈비찜
12,백설참진한참기름
13,설탕 반컵 ~
14,바이츠(라즈베리)냉동생지
15,홀그레인 머스터드
16,스리라차 칠리
17,간장게장 국물
18,중면(국수)
19,라운드 슬라이스햄
20,블루베리파우더 5적앙금
21,소고기등심(소고기채끝살)
22,쇠고기(반줌)
23,우리밀 운동본부 통밀가루
24,미지근한물
25,생삼겹
26,석화
27,스팸 대략
28,소고기 육수
29,우유(생략가능)
30,통밀 파스타
31,큰 흰살생선
32,돼지고기목심
33,유리병or유리그릇
34,청양초(작은)
35,메추리알장조림
36,반건조고구마
37,치즈(김밥용)
38,슈가파우더 윗면 더스팅용
39,다짐마늘
40,한천분말
41,삼계탕용 티백
42,그린/블랙 올리브
43,위에 뿌릴 슈가파우더
44,슈가파우더(설탕대체가능)
45,호주산 양지 덩어리
46,홍 진미채
47,한우고기
48,스팸 슬라이스
49,알배추(소)
50,땅 두릅
51,쇠고기 부채살이나 구이용
52,갈비
53,파슬리 가루(생략 가능)
54,으깬명란젓
55,b.p
56,비정제 설탕 마스코바도
57,달래 한줌
58,당근(작은거)
59,디포리 육수 혹은
60,매실청(또는 요구르트)
61,통도라지(더덕)
62,재료: 찹쌀
63,모밀 소스
64,통살 연어스테이크
65,생강 저민거
66,체다치즈(노란치즈)
67,크레미 맛살
68,깻잎순 데친 것
69,청주나 럼주
70,생막걸리
71,라면 스프
72,굴소스 2작은술~
73,돼지고기(오겹살)
74,비엔나소시지 큰거
75,실파(or 대파)
76,손질된 노가리
77,멜론(중)
78,고기 삶는 티백(또는 월계수잎 적당량)
79,당근 꽃잎
80,비비고왕만두
81,참기름·버터(취향에 따라)
82,단호박 가루
83,링귀니 파스타 면
84,통밀가루(부침가루)
85,채친 생강
86,토마토 3ㅡ
87,쪽파
88,찹쌀풀 종이컵
89,숙성된 토마토
90,청정원 남해안
91,다진볶음김치
92,파프리카(소)
93,크라비아
94,사골 국
95,대파 1개~
96,홍갓(작은단)
97,쪽파 한 주먹
98,버섯 양파 반개 양
99,맛살 긴것
100,간장새우간장
101,물 350ml~
102,지퍼백 대
103,장조림용 또는 스튜용 소고기
104,중면 또는 소면
105,포도씨유 또는 카놀라유
106,베트남쌀국수소스
107,브라우니
108,고추장
109,시판 노랑 옥수수
110,시판재래된장
111,무가당코코아가루
112,홍땡초
113,연어(횟감용)
114,빨강피망(소)
115,슬라이스 양파
116,CJ 고메 베이커리 크로와상
117,식용색소 빨간색
118,상추(or양상추)
119,다시 멸치(육수용)
120,동태 포
121,장식용청크초코칩
122,오븐
123,배추 김치
124,꽃게 대자
125,바지락(등조개류)
126,애호박 6cm
127,떡갈비(시판)
128,밤고구마(큰거)
129,원칙을 지키는 프랑크
130,스테이크용 목심 500그램*
131,고추기름(불맛향미유)
132,머위나물
133,검은 후춧가루
134,황태불린물
135,냉동 쭈꾸미
136,소금(배추삶을때)
137,맛술(소주) 소주컵
138,맛간장/쯔유/국탕용분말스프/혼다시
139,사태살
140,브로콜리 작은 송이
141,단무지(김밥용으로)
142,데친 톳
143,황 치즈 분말
144,엿기름
145,양파 종이컵 만한거
146,다진 매실
147,밀가루(+부침가루)
148,스파게티 삶은 물
149,시나몬 가루 (선택)
150,스팸 큰 거
151,실온 마스카포네 치즈
152,차조+수수
153,칵테일새우 또는 소하
154,베이컨(대체가능)
155,채 썰어진 우무묵
156,냉동대패삼겹살
157,전복내장
158,​분홍 소세지
159,손질된 해산물
160,생 굴
161,시판용 녹두가루
162,바질(드라이)
163,있으면 드라이 방울토마토
164,당근
165,선지
166,무 작은무
167,먹갈치(대)
168,고명용 깻잎
169,쌀뜨물 또는 생수
170,햄 통조림
171,양파 or 쪽파
